Gene	Tissue	NPat	KnownDriver	Mode	AllDriver	MutSigCV	OncodriveFM	OncodriveCLUST	NMC	MutSig.CL	e.Driver	e.Driver3D	iPAC	GraphPAC	SpacePAC	CLUMPS	iSIMPRe	ActiveDriver	Hotspot	LowMACA	Detected
TPR	blca	14	No	Unk	Other somatic drivers in other tissues	0.2590258	0.962526628858225	1	1	0.521	1	1	1	1	1	1	1	0.00182091699578261	1	1	1
CHEK2	blca	7	No	TSG	Other germline drivers in other tissues	1	1	1	1	0.0168	1	1	1	1	1	1	1	0.108421029359669	1	1	1
SMARCA4	blca	11	No	Unk	Missense somatic drivers in other tissues	0.2653453	0.540595875931443	1	1	0.516	1	1	1	1	1	0.8344	1	0.00134280160495461	1	1	1
RANBP2	blca	12	No	Unk	Other somatic drivers in other tissues	1	0.866105953901875	1	1	0.282	1	1	1	1	1	1	1	0.0199541896584034	1	1	1
PTPRB	blca	5	No	Unk	Missense somatic drivers in other tissues	1	1	1	1	0.00951	1	1	1	1	1	1	1	1	1	1	1
MED12	blca	11	No	Unk	Missense somatic drivers in other tissues	1	0.623745130556796	1	1	0.014	1	1	1	1	1	1	1	1	1	1	1
TET1	blca	6	No	OG/TSG	Other somatic drivers in other tissues	0.5388395	0.572670440625076	1	1	0.0258	1	1	1	1	1	1	1	1	1	1	1
CLIP1	blca	9	No	Unk	Other somatic drivers in other tissues	0.7017878	1	1	1	0.0563	1	1	1	1	1	1	1	2.55600180508964e-06	1	1	1
TRRAP	blca	10	No	OG	Missense somatic drivers in other tissues	1	0.768805887298455	1	1	0.00705	1	1	1	1	1	1	1	0.0877867845972874	1	1	1
SH3GL1	blca	6	No	Unk	Other somatic drivers in other tissues	0.9129747	0.874290049181144	1	1	0.44	1	1	0.007176297	1	1	1	1	1	1	1	1
SPEN	blca	13	No	Unk	Missense somatic drivers in other tissues	1	1	1	1	0.0529	1	1	1	1	1	1	1	0.0263668177957863	1	1	1
ERBB2	blca	13	No	OG	Missense somatic drivers in other tissues	1	0.378290926120974	0.810433480974	1	2.96e-05	1	0.0094494818148257	1	1	1	0.463273	1	1	1	1	2
MLH1	blca	7	No	Unk	Missense somatic drivers in other tissues	1	0.431614039002996	1	1	0.0385	1	1	1	1	1	1	1	1	1	1	1
USP8	blca	5	No	OG	Missense somatic drivers in other tissues	1	1	1	1	0.769	1	1	1	1	1	1	1	0.0275293262395515	1	1	1
CNOT3	blca	7	No	TSG	Missense somatic drivers in other tissues	1	0.340163451079983	0.633735573631	1	0.00534	1	1	1	1	1	1	1	1	1	1	1
