Gene	Tissue	NPat	KnownDriver	Mode	AllDriver	MutSigCV	OncodriveFM	OncodriveCLUST	NMC	MutSig-CL	e-Driver	e-Driver3D	iPAC	GraphPAC	SpacePAC	CLUMPS	iSIMPRe	ActiveDriver	Hotspot	LowMACA	Detected
ATP12A	blca	6	No	N/A	No	0.2308864	1	1	1	0.499	1	1	5.381863e-05	9.210498e-05	0.013	0.168	1	1	1	1	3
POLR3A	blca	5	No	N/A	No	1	0.547273960102238	1	1	0.044	1	1	1	1	1	1	1	0.0109998232838515	1	0.04128637	3
ZNF91	blca	12	No	N/A	No	1	1	0.633735573631	0.0002578521	0.707	1	1	0.008928571	0.008928571	0.008	1	1	1	1	1	4
ABCB1	blca	7	No	N/A	No	1	1	1	1	0.0838	1	1	0.002839114	0.002841356	0.01	0.441	1	0.0273503862682278	1	1	4
XYLB	blca	5	No	N/A	No	0.7042023	1	1	1	0.185	1	1	0.004764922	0.00475887	0.016	0.978651	1	1	1	1	3
CHI3L1	brca	9	No	N/A	No	1	1	0.045345144032	1	0.328	1	1	0.0002642523	0.008007092	0.017	0.92533	1	1	1	1	4
VAV1	brca	6	No	N/A	No	1	0.413855677685423	0.045345144032	1	0.631	1	1	1	1	1	1	1	0.00167956633171084	1	1.316943e-07	3
ZFP64	brca	11	No	N/A	No	1	0.652114222125188	0.110683862386	1	0.178	1	1	0.01923077	0.01923077	0.023	1	1	1	1	1	3
SEPT10	brca	13	No	N/A	No	1	0.836379732051968	5.20848418003e-07	1.061615e-18	0.694	1	1	1	1	1	1	0.0003572	1	1	1	3
MYH7B	brca	16	No	N/A	No	1	1	1	1	0.269	1	1	0.0009173568	0.004608283	0.012	0.921086	1	1	1	1	3
TRAK1	brca	7	No	N/A	No	1	1	0.0202341191644	0.002096435	0.351	1	1	1	1	1	1	1	0.00418092807096687	1	1	3
FOLH1	brca	8	No	N/A	No	1	1	1	1	0.92	1	1	1.923943e-05	1.923944e-05	5e-04	0.921086	1	1	1	1	3
SCML2	brca	6	No	N/A	No	1	1	1	1	0.136	1	1	0.007097774	0.007097774	0.005	1	1	1	1	1	3
FAM21A	brca	11	No	N/A	No	1	0.662621284973564	8.33081025823e-06	1.917519e-21	0.834	0.0124480372331008	1	1	1	1	1	0.0003572	1	1	1	4
TUB	brca	6	No	N/A	No	1	1	1	1	0.267	1	1	0.005507948	0.005507948	0.005	1	1	1	1	1	3
VWF	brca	11	No	N/A	No	1	1	0.0377590215754	1	0.788	1	1	0.007839697	0.007839697	0.018	1	1	0.000632191696716512	1	1	5
PARP4	brca	17	No	N/A	No	1	0.0651912456927684	0.0449613886204	3.301576e-08	0.00555	1	1	1	1	1	1	1	1	1	1	3
PAPOLA	brca	5	No	N/A	No	1	0.0608074494851134	1	1	0.308	1	1	0.004287241	0.004287241	0.014	1	1	0.0370792961662997	1	1	4
KCNN3	brca	12	No	N/A	No	1	1	1	1.337185e-19	1	0.00950591637694116	1	1	1	1	1	0.0003572	1	1	1	3
MST1R	gbm	5	No	N/A	No	1	1	1	1	1	1	1	0.01549035	0.01549035	0.022	1	1	1	1	1	3
RPSAP58	gbm	9	No	N/A	No	1	0.24549613468913	0.000696086388316	1.817604e-14	1	1	7.41400640297415e-08	1	1	1	1	0.0002057	1	2.09617005936157e-15	1	5
ZNF814	gbm	11	No	N/A	No	1	1	0.000281440621292	6.401655e-23	1	0.288609908916544	1	1	1	1	1	0.0001106	1	1	1	3
MYH7B	gbm	9	No	N/A	No	1	1	1	1	1	1	1	0.001934236	0.001934236	0.001	1	1	1	1	1	3
NCKAP1L	gbm	5	No	N/A	No	1	0.414579458756275	0.368471681186	1	1	1	1	0.00164908	0.002285423	0.003	1	1	1	1	1	3
TNFSF10	gbm	6	No	N/A	No	1	0.787653778245744	0.492293141255	1	1	1	1	0.009183635	0.009183635	0.021	1	1	0.215560872013731	1	1	3
DVL2	gbm	11	No	N/A	No	1	0.36406432918711	0.492293141255	1	1	1	1	0.01587302	0.01587302	0.014	1	1	1	1	1	3
NBPF10	gbm	16	No	N/A	No	1	1	0.000778113196862	3.785314e-16	1	0.000197259011578749	1	1	1	1	1	0.007453	1	1	1	4
GRIN2B	gbm	7	No	N/A	No	1	1	1	1	1	1	1	0.004197758	0.004197758	0.008	0.993908	1	1	1	1	3
CD209	gbm	5	No	N/A	No	1	1	1	1	0.416	1	1	0.01084331	0.01084331	0.014	1	1	1	1	1	3
POTEF	gbm	8	No	N/A	No	1	1	1	5.773364e-05	0.016	0.0765690903048164	1	1	1	1	1	1	7.17302425305117e-05	1	1	3
F9	gbm	5	No	N/A	No	1	1	1	1	1	1	1	0.01430828	0.01430828	0.022	1	1	1	1	1	3
PRDM9	gbm	12	No	N/A	No	1	1	1	1	1	1	1	0.007064347	0.007064347	0.009	1	1	1	1	1	3
GATA6	luad	11	No	N/A	No	0.1641891	1	0.170584080939	1	0.374	1	1	0.01190476	0.01190476	0.011	1	1	1	1	1	3
NCL	luad	9	No	N/A	No	1	1	0.0301408657406	0.0001648826	0.166	1	1	1	1	1	1	1	0.000306540758970577	1	1	3
EEF1A2	luad	9	No	N/A	No	0.467144	1	1	1	0.444	1	1	0.001788273	0.001788273	0.031	0.851184	1	1	1	1	3
NNT	luad	11	No	N/A	No	1	1	0.137798603258	1	0.22	1	1	0.00456621	0.00456621	0.001	1	1	1	1	0.04199162	4
SEMA6A	luad	22	No	N/A	No	0.357854	1	0.333708167306	1	0.279	1	1	0.004866961	0.004860647	0.017	0.929958	1	1	1	1	3
UBBP4	luad	52	No	N/A	No	1	1	1	1.857675e-11	1	1	0.00441632160492192	1	1	1	1	0.002456	1	1	1	3
