Gene	NPat	Coverage	KnownDriver	Mode	AllDriver	MutSigCV	OncodriveFM	OncodriveCLUST	NMC	MutSig-CL	e-Driver	e-Driver3D	iPAC	GraphPAC	SpacePAC	CLUMPS	iSIMPRe	ActiveDriver	Hotspot	LowMACA	Detected
PCOLCE	1	0.841870824053452	No	N/A	No	1	1	1	1	0.727	1	1	1	1	1	1	1	1	1	1	0
HNF1B	1	0	No	N/A	No	1	1	1	1	0.141	1	1	1	1	1	1	1	1	1	1	0
ZNF259	2	0.864923747276688	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
FAM160B2	1	0	No	N/A	No	1	1	1	1	0.146	1	1	1	1	1	1	1	1	1	1	0
DBF4B	1	0.203252032520325	No	N/A	No	1	1.0	1	1	0.312	1	1	1	1	1	1	1	1	1	1	0
KATNA1	3	0.832993890020367	No	N/A	No	4.966563e-01	1	1	1	0.401	1	1	1	1	1	1	1	1	1	1	0
CLDN25	2	0.777292576419214	No	N/A	No	1	1	1	1	0.640	1	1	1	1	1	1	1	1	1	1	0
OR13C2	2	0	No	N/A	No	8.335516e-01	1	1	1	0.195	1	1	1	1	1	1	1	1	1	1	0
PHLPP2	2	0	No	N/A	No	1	1.0	1	1	0.809	1	1	1	1	1	1	1	1	1	1	0
DONSON	1	0	No	N/A	No	1	1.0	1	1	0.625	1	1	1	1	1	1	1	1	1	1	0
XPOT	4	0.991683991683992	No	N/A	No	1	1.0	1	1	0.0130	1	1	1	1	1	1	1	1	1	1	1
DAGLA	4	0	No	N/A	No	1	0.9767992651750769	1	1	0.175	1	1	1	1	1	1	1	0.158567957618611	1	1	0
ADAM23	4	0	No	N/A	No	1	1	1	1	0.702	1	1	1	1	1	1	1	1	1	1	0
NBPF12	2	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
ERCC4	2	0.26528384279476	No	Unk	Other germline drivers in other tissues	1	0.9631717551987576	1	1	0.165	1	1	1	1	1	1	1	1	1	1	0
DGKZ	3	0.107430617726052	No	N/A	No	1	1.0	1	1	0.512	1	1	1	1	1	1	1	1	1	1	0
