Gene	NPat	Coverage	KnownDriver	Mode	AllDriver	MutSigCV	OncodriveFM	OncodriveCLUST	NMC	MutSig-CL	e-Driver	e-Driver3D	iPAC	GraphPAC	SpacePAC	CLUMPS	iSIMPRe	ActiveDriver	Hotspot	LowMACA	Detected
C18orf56	1	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
MAST2	9	0.337041156840934	No	N/A	No	1	0.34219767259793604	1	1	0.0174	1	1	1	1	1	1	1	1	1	1	1
TNK2	1	0.322283609576427	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
PIK3CB	9	0	No	N/A	No	1	0.6897705063917127	1	1	0.388	1	1	1	1	1	0.97522	1	0.203997640682993	1	1	0
POLR3GL	9	0	No	N/A	No	1	0.06519124569276837	1	1	0.785	1	1	1	1	1	1	1	1	1	1	0
APOA5	7	0	No	N/A	No	1	1	1	1	0.741	1	1	1	1	1	1	1	1	1	1	0
TNC	9	0.92412539754657	No	N/A	No	1	1.0	1	1	0.163	1	1	1	1	1	1	1	1	1	1	0
MSMP	6	0	No	N/A	No	1	1	1	1	0.271	1	1	1	1	1	1	1	1	1	1	0
ZNF547	5	0.728855721393035	No	N/A	No	1	1	1	1	0.859	1	1	1	1	1	1	1	1	1	1	0
PARS2	2	0.901052631578947	No	N/A	No	1	1.0	1	1	0.344	1	1	1	1	1	1	1	1	1	1	0
RDH10	4	0.818181818181818	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
FAM86C1	2	0	No	N/A	No	1	1.0	1	1	1	1	1	1	1	1	1	1	1	1	1	0
FAR2	2	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
TNFRSF12A	7	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
SLC1A2	2	0.787456445993031	No	N/A	No	1	1	1	1	0.465	1	1	1	1	1	1	1	1	1	1	0
RABEP1	10	0	No	Unk	Other somatic drivers in other tissues	1	0.1819897271757738	1	1	0.870	1	1	1	1	1	1	1	1	1	1	0
SYBU	9	0	No	N/A	No	1	0.692812774728934	1	1	0.154	1	1	1	1	1	1	1	1	1	1	0
ZNF853	3	0.261001517450683	No	N/A	No	1	1.0	1	1	0.831	1	1	1	1	1	1	1	1	1	1	0
AMFR	1	0.206842923794712	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
OPN1MW	1	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
ANKRD30A	9	0	No	N/A	No	1	1	1	1	0.191	1	1	1	1	1	1	1	1	1	1	0
TTC18	7	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
CEP97	5	0	No	N/A	No	1	1.0	1	1	0.683	1	1	1	1	1	1	1	1	1	1	0
RNF133	6	0.412234042553192	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
MUM1L1	7	0	No	N/A	No	7.659493e-01	1	1	1	0.821	1	1	1	1	1	1	1	1	1	1	0
MFSD4	6	0	No	N/A	No	1	1.0	1	1	0.751	1	1	1	1	1	1	1	1	1	1	0
SLC35G2	1	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
ZBTB7B	3	0.483420593368237	No	N/A	No	1	1.0	1	1	1	1	1	1	1	1	1	1	1	1	1	0
PLA2G12A	2	0	No	N/A	No	1	1.0	1	1	0.963	1	1	1	1	1	1	1	1	1	1	0
MERTK	7	0	No	N/A	No	1	1.0	1	1	0.757	1	1	1	1	1	1	1	0.200445107236194	1	1	0
MIER2	4	0	No	N/A	No	1	1.0	1	1	0.841	1	1	1	1	1	1	1	1	1	1	0
C7orf29	2	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
DUSP4	1	0.532994923857868	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
PPP2R5A	2	0.835390946502058	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
USP39	6	0	No	N/A	No	1	0.8852435022914259	1	1	0.358	1	1	1	1	1	0.921086	1	1	1	1	0
CCDC149	2	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
TNFRSF13B	2	0.143344709897611	No	N/A	No	1	1	1	1	0.349	1	1	1	1	1	1	1	1	1	1	0
CTSD	1	0.968446601941748	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
CNPPD1	11	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
CDON	5	0.55011655011655	No	N/A	No	1	0.9513611173796079	1	1	0.189	1	1	1	1	1	1	1	1	1	1	0
SMPD1	2	0.923930269413629	No	N/A	No	1	1.0	1	1	0.216	1	1	1	1	1	1	1	1	1	1	0
TIMM17A	4	0	No	N/A	No	1	0.9232807438237618	1	1	0.294	1	1	1	1	1	1	1	0.100496765218323	1	1	0
MAN2A2	7	0.885217391304348	No	N/A	No	1	0.6734915875065721	0.0202341191644	1	0.162	1	1	1	1	1	0.925298	1	1	1	1	1
RTKN	6	0	No	N/A	No	1	1.0	1	1	0.483	1	1	1	1	1	1	1	0.146261693223309	1	1	0
WDR81	4	0.123647604327666	No	N/A	No	1	1.0	1	1	0.647	1	1	1	1	1	1	1	1	1	1	0
OPN1MW2	1	0.942307692307692	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NLRC5	15	0.756162915326902	No	N/A	No	1	1.0	1	1	0.574	1	1	1	1	1	1	1	1	1	1	0
SLC45A4	5	0	No	N/A	No	1	1.0	1	1	0.480	1	1	1	1	1	1	1	0.157845473869956	1	1	0
CSNK2A1	3	0	No	N/A	No	1	0.6996785079018522	1	1	0.410	1	1	1	1	1	1	1	1	1	1	0
CLEC1A	2	0.482142857142857	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
PA2G4	11	1	No	N/A	No	1	1.0	1	1	0.979	1	1	1	1	1	1	1	0.22394326236657	1	1	0
ZNF865	1	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
SZRD1	4	0	No	N/A	No	1	0.2595699917580959	1	1	1	1	1	1	1	1	1	1	1	1	1	0
ANXA4	3	1	No	N/A	No	1	1.0	1	1	0.305	1	1	1	1	1	1	1	1	1	1	0
ST6GALNAC4	1	0.54635761589404	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	0.052416024213739	1	1	0
TMED7	2	0.388392857142857	No	N/A	No	1	1.0	1	1	0.497	1	1	1	1	1	1	1	1	1	1	0
LYRM9	2	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
MUS81	7	0.891107078039927	No	N/A	No	1	0.06635740580537797	1	1	0.0815	1	1	1	1	1	1	1	1	1	1	0
SLITRK3	10	0.618219037871034	No	N/A	No	1	1	1	1	0.684	1	1	1	1	1	1	1	0.182206758482632	1	1	0
PTPRQ	15	0	No	N/A	No	1	1	1	1	0.270	1	1	1	1	1	1	1	1	1	1	0
DNM1L	2	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
EME2	3	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
STOX2	3	0	No	N/A	No	1	1	1	1	0.777	1	1	1	1	1	1	1	1	1	1	0
STAT4	9	0.938502673796791	No	N/A	No	1	1	1	1	0.464	1	1	1	1	1	1	1	1	1	1	0
SLC10A6	3	0.63395225464191	No	N/A	No	1	1	1	1	0.319	1	1	1	1	1	1	1	1	1	1	0
ANKRD6	5	0	No	N/A	No	1	0.6526131135685722	1	1	0.715	1	1	1	1	1	1	1	1	1	1	0
CAPZB	1	0	No	N/A	No	1	1.0	1	1	1	1	1	1	1	1	1	1	1	1	1	0
FOXO1	2	0.346564885496183	No	OG/TSG	Other somatic drivers in other tissues	1	1	1	1	0.361	1	1	1	1	1	1	1	0.193298207140799	1	1	0
ERICH1	2	0	No	N/A	No	1	1.0	1	1	0.0806	1	1	1	1	1	1	1	1	1	1	0
FAM104B	1	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
PTPRG	10	0.62076124567474	No	N/A	No	1	0.17543138948242834	1	1	0.435	1	1	1	1	1	1	1	1	1	1	0
MYCBP	3	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
C9orf85	2	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
LECT2	1	0.880794701986755	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
USH2A	50	0	No	N/A	No	1	1	1	1	0.877	1	1	1	1	1	0.943942	1	1	1	1	0
ZMYM5	4	0.0732436472346786	No	N/A	No	1	1.0	1	1	0.537	1	1	1	1	1	1	1	1	1	1	0
SLC16A5	5	0	No	N/A	No	1	1.0	1	1	0.805	1	1	1	1	1	1	1	1	1	1	0
SYN3	7	0.717241379310345	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
MAPK15	2	0.663602941176471	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
DSCAML1	11	0.686228111689541	No	N/A	No	1	1	1	1	0.590	1	1	1	1	1	1	1	1	1	1	0
KCNJ8	3	0.818396226415094	No	N/A	No	1	1.0	1	1	0.160	1	1	1	1	1	1	1	1	1	1	0
SGCB	4	0	No	N/A	No	1	0.8414803578723178	1	1	0.0220	1	1	1	1	1	1	1	0.125626283451232	1	1	1
KRTAP10-1	2	0	No	N/A	No	1	1	1	1	0.541	1	1	1	1	1	1	1	1	1	1	0
DNAH14	21	0	No	N/A	No	1	1	1	1	0.588	1	1	1	1	1	1	1	1	1	1	0
DDX17	5	0.607387140902873	No	N/A	No	1	1.0	1	1	0.286	1	1	1	1	1	1	1	0.0224394255524022	1	1	1
ZNF721	8	0.930660888407367	No	N/A	No	1	1.0	1	1	0.0837	1	1	1	1	1	1	1	0.11843164011574	1	1	0
CLASRP	6	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
C7orf62	5	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
SLC24A4	9	0	No	N/A	No	1	1	1	1	0.765	1	1	1	1	1	1	1	1	1	1	0
CRB1	8	0.72972972972973	No	N/A	No	1	1	1	1	0.270	1	1	1	1	1	1	1	1	1	1	0
AFAP1L2	5	0	No	N/A	No	1	0.23961486972497717	1	1	0.995	1	1	1	1	1	1	1	0.0867700746293491	1	1	0
OLFM2	3	0.940528634361233	No	N/A	No	1	0.5652776041859924	1	1	0.127	1	1	1	1	1	1	1	1	1	1	0
GDF5OS	4	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
RPS2	2	1	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	0.175184594869917	1	1	0
COL27A1	13	0.643010752688172	No	N/A	No	1	1	1	1	0.736	1	1	1	1	1	0.913958	1	1	1	1	0
GDPD1	4	0.837579617834395	No	N/A	No	1	1	1	1	0.428	1	1	1	1	1	1	1	1	1	1	0
ABHD1	8	0	No	N/A	No	1	1	1	1	0.500	1	1	1	1	1	1	1	1	1	1	0
PLLP	1	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
CTC-398G3.6	8	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NRP2	8	0.626208378088077	No	N/A	No	1	1.0	1	1	0.830	1	1	1	1	1	1	1	1	1	1	0
ILDR1	2	0	No	N/A	No	1	1.0	1	1	1	1	1	1	1	1	1	1	1	1	1	0
RNF17	9	0.159581022797289	No	N/A	No	1	1	1	 3.104542e-05 	0.490	0.195295759525202	1	1	1	1	1	1	1	1	1	1
ADH1A	1	1	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
ANKMY1	4	0	No	N/A	No	1	0.9079916765327182	1	1	0.526	1	1	1	1	1	1	1	1	1	1	0
CA14	10	0.818991097922849	No	N/A	No	1	1	1	1	0.245	1	1	1	1	1	1	1	1	1	1	0
SCN3B	4	0	No	N/A	No	1	1	1	1	0.733	1	1	1	1	1	1	1	1	1	1	0
PET117	2	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
AC003043.1	6	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
MORN4	3	0	No	N/A	No	1	0.31088291659636325	1	1	0.140	1	1	1	1	1	1	1	1	1	1	0
HSPA8	6	0	No	N/A	No	1	0.2766882040825479	1	1	0.630	1	1	1	1	1	1	1	1	1	1	0
SNRNP40	2	0	No	N/A	No	1	1.0	1	1	1	1	1	1	1	1	1	1	1	1	1	0
FOXD3	2	0.274058577405858	No	N/A	No	1	1	1	1	0.640	1	1	1	1	1	1	1	1	1	1	0
PCDHGB1	111	0.705501618122977	No	N/A	No	1	1	1	1	0.971	1	1	1	1	1	1	1	1	1	1	0
TIPARP	3	0	No	N/A	No	1	1.0	1	1	0.731	1	1	1	1	1	1	1	1	1	1	0
VWCE	7	0.103664921465969	No	N/A	No	1	1	1	 0.001901225 	0.668	1	1	1	1	1	1	1	1	1	1	1
LRRC72	1	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
UQCR10	2	1	No	N/A	No	1	1.0	1	1	0.0726	1	1	1	1	1	1	1	1	1	1	0
DUSP18	2	1	No	N/A	No	1	1.0	1	1	0.948	1	1	1	1	1	1	1	1	1	1	0
EFCAB4A	2	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
FAM83G	4	0	No	N/A	No	1	0.2447737957176934	1	1	0.0444	1	1	1	1	1	1	1	1	1	1	1
IQGAP2	10	0.438730158730159	No	N/A	No	1	1.0	1	1	0.355	1	1	1	1	1	1	1	1	1	1	0
SV2C	1	0.422283356258597	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
MARCH10	4	0	No	N/A	No	1	1	1	1	0.175	1	1	1	1	1	1	1	1	1	1	0
RGS9	6	0.635014836795252	No	N/A	No	1	1	1	1	0.841	1	1	1	1	1	1	1	1	1	1	0
ZNF711	9	0	No	N/A	No	1	0.35852307924381305	1	1	0.826	1	1	1	1	1	1	1	1	1	1	0
MAN1A1	6	0.807044410413476	No	N/A	No	1	1.0	1	1	0.0533	1	1	1	1	1	0.651472	1	1	1	1	0
DMGDH	7	0.998845265588915	No	N/A	No	1	1	1	1	0.482	1	1	1	1	1	0.761295	1	1	1	1	0
ITIH6	10	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
TMEM101	2	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
ZNF653	2	0.240650406504065	No	N/A	No	1	0.8283657555071763	1	1	0.532	1	1	1	1	1	1	1	1	1	1	0
DPYSL3	5	0.827485380116959	No	N/A	No	1	0.23853322099797497	1	1	0.266	1	1	1	1	1	0.75848	1	1	1	1	0
MRPS6	6	0.992	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
TSPAN4	1	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
VMA21	1	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
RPL15	2	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
CTC-203F4.1	2	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
E4F1	7	0.358418367346939	No	N/A	No	1	1.0	1	1	0.234	1	1	1	1	1	1	1	1	1	1	0
ERV3-1	4	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
THAP4	1	0.45580589254766	No	N/A	No	1	1.0	1	1	1	1	1	1	1	1	1	1	1	1	1	0
HOXA9	3	0.290441176470588	No	OG	Other somatic drivers in other tissues	1	1.0	1	1	1	1	1	1	1	1	1	1	1	1	1	0
FABP6	1	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
RARB	7	0	No	N/A	No	1	1.0	1	1	0.356	1	1	1	1	1	1	1	1	1	1	0
TMEM30B	1	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
PYHIN1	9	0.599593495934959	No	N/A	No	1	1	1	1	0.0747	1	1	1	1	1	1	1	1	1	1	0
LDHD	1	0.964497041420118	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
TMF1	4	0	No	N/A	No	1	1.0	1	1	0.120	1	1	1	1	1	1	1	1	1	1	0
CMC1	2	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
ANKH	4	0	No	N/A	No	1	1.0	1	1	0.275	1	1	1	1	1	1	1	0.138153177403885	1	1	0
RER1	2	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
POLR2D	2	1	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
