Gene	NPat	Coverage	KnownDriver	Mode	AllDriver	MutSigCV	OncodriveFM	OncodriveCLUST	NMC	MutSig-CL	e-Driver	e-Driver3D	iPAC	GraphPAC	SpacePAC	CLUMPS	iSIMPRe	ActiveDriver	Hotspot	LowMACA	Detected
RGS3	3	0.342237061769616	No	N/A	No	1	0.8397443185727583	1	1	1	1	1	1	1	1	1	1	1	1	1	0
IL12B	2	1	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
TTLL2	2	0.586148648648649	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
COL1A1	4	0.958333333333333	No	OG	Other somatic drivers in other tissues	1	0.9715720402836451	1	1	1	1	1	1	1	1	1	1	1	1	1	0
TAX1BP3	3	1	No	N/A	No	1	0.6580683007264789	1	1	1	1	1	1	1	1	1	1	1	1	1	0
TBC1D22A	3	0.655705996131528	No	N/A	No	1	1.0	1	1	1	1	1	1	1	1	1	1	1	1	1	0
UNC5CL	2	0.735521235521235	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
PLXDC2	2	0	No	N/A	No	1	1.0	1	1	1	1	1	1	1	1	1	1	1	1	1	0
SSH1	2	0.143946615824595	No	N/A	No	1	1.0	1	1	1	1	1	1	1	1	1	1	1	1	1	0
AVIL	1	0.952380952380952	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
ARL1	1	0	No	N/A	No	1	1.0	1	1	1	1	1	1	1	1	1	1	1	1	1	0
EEF1D	3	0	No	N/A	No	1	1.0	1	1	1	1	1	1	1	1	1	1	1	1	1	0
LNPEP	4	0.851707317073171	No	N/A	No	1	1.0	1	1	1	1	1	1	1	1	1	1	1	1	1	0
RP11-1167A19.2	2	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
TTC39C	1	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
SEC31A	2	0	No	N/A	No	1	0.33566542514290715	1	1	1	1	1	1	1	1	1	1	1	1	1	0
CCDC135	5	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
REEP6	3	0	No	N/A	No	1	0.794952195358262	1	1	1	1	1	1	1	1	1	1	1	1	1	0
OR1A1	2	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
ZNF670	2	0.858611825192802	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
CPA5	1	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
MCRS1	3	0	No	N/A	No	1	0.6580371250979938	1	1	1	1	1	1	1	1	1	1	0.187857992102575	1	1	0
ZNF429	2	0.770029673590504	No	N/A	No	1	0.06129577077059165	1	1	1	1	1	1	1	1	1	1	1	1	1	0
AC012313.1	2	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
RCC2	2	0.718390804597701	No	N/A	No	1	0.5921187916998286	1	1	1	1	1	1	1	1	1	1	1	1	1	0
MUC17	35	0	No	N/A	No	1	1	1	1	2.590000e-01	1	1	1	1	1	1	1	1	1	1	0
CTD-2583A14.9	15	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
RFTN2	2	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
CDH17	3	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
KLHL2	3	0.941373534338358	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
FASTKD5	3	0	No	N/A	No	1	1.0	1	1	1	1	1	1	1	1	1	1	1	1	1	0
OTUD4	5	0	No	N/A	No	1	1.0	1	1	1	1	1	1	1	1	1	1	1	1	1	0
ORMDL3	1	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NEU2	4	1	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	0.210924825057694	1	1	0
JHDM1D	6	0.518597236981934	No	N/A	No	1	0.6629434121388272	0.00959185511989	 0.003182457 	3.310000e-01	1	1	1	1	1	1	1	1	1	1	2
