Gene	NPat	Coverage	KnownDriver	Mode	AllDriver	MutSigCV	OncodriveFM	OncodriveCLUST	NMC	MutSig-CL	e-Driver	e-Driver3D	iPAC	GraphPAC	SpacePAC	CLUMPS	iSIMPRe	ActiveDriver	Hotspot	LowMACA	Detected
PION	7	0	No	N/A	No	1	1.0	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NXPH3	2	0	No	N/A	No	8.980354e-01	1	1	1	0.375	1	1	1	1	1	1	1	1	1	1	0
ATP10A	19	0	No	N/A	No	1	1.0	0.34307086861	1	0.722	1	1	1	1	1	1	1	1	1	1	0
C5orf24	2	0	No	N/A	No	9.823600e-01	0.9274473143153199	1	1	0.899	1	1	1	1	1	1	1	1	1	1	0
TRIM41	3	0.663492063492063	No	N/A	No	1	1.0	1	1	0.194	1	1	1	1	1	1	1	1	1	1	0
ABCG1	6	0	No	N/A	No	5.652331e-01	0.9080705620803879	1	1	0.951	1	1	1	1	1	1	1	1	1	1	0
RP11-694I15.6	2	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
UBXN11	12	0	No	N/A	No	1	1.0	1	1	0.913	1	1	1	1	1	1	6.250e-05	1	1	1	1
ERMP1	1	0	No	N/A	No	1	1.0	1	1	1	1	1	1	1	1	1	1	1	1	1	0
RNF2	3	0.8125	No	N/A	No	1	0.3662800541076361	1	1	0.479	1	1	1	1	1	1	1	1	1	1	0
FLYWCH2	1	0	No	N/A	No	1	1.0	1	1	0.758	1	1	1	1	1	1	1	1	1	1	0
UGT2B15	13	0.315094339622641	No	N/A	No	5.101110e-01	1	1	1	0.940	1	1	1	1	1	1	1	1	1	1	0
OR2T35	2	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
FGFR2	12	0.891727493917275	No	Unk	Missense somatic drivers in other tissues	6.702123e-01	1.0	1	1	0.952	1	1	1	1	1	1	1	1	1	1	0
