Gene	Tissue	NPat	KnownDriver	Mode	AllDriver	MutSigCV	OncodriveFM	OncodriveCLUST	NMC	MutSig-CL	e-Driver	e-Driver3D	iPAC	GraphPAC	SpacePAC	CLUMPS	iSIMPRe	ActiveDriver	Hotspot	LowMACA	Detected
FASTKD3	blca	6	No	N/A	No	0.7510902	1	0.439966186491	1	0.746	1	1	1	1	1	1	1	0.0146634656168864	1	1	1
KLK1	blca	6	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
EPHB6	blca	5	No	N/A	No	1	1	1	1	0.247	1	1	1	1	1	1	1	1	1	1	0
LARGE	blca	5	No	N/A	No	1	0.440009588606686	1	1	0.41	1	1	1	1	1	1	1	1	1	1	0
UGT1A6	blca	10	No	N/A	No	1	1	1	1	0.517	1	1	1	1	1	1	1	1	1	0.0006379166	1
PCDHA12	blca	18	No	N/A	No	1	1	1	1	0.109	1	1	1	1	1	1	1	1	1	1	0
TPR	blca	14	No	Unk	Other somatic drivers in other tissues	0.2590258	0.962526628858225	1	1	0.521	1	1	1	1	1	1	1	0.00182091699578261	1	1	1
EXPH5	blca	9	No	N/A	No	0.8703871	0.587891459317489	1	1	0.879	1	1	1	1	1	1	1	1	1	1	0
ZNF768	blca	6	No	N/A	No	1	0.0647095026061844	1	1	0.8	1	1	1	1	1	1	1	1	1	1	0
SMG5	blca	8	No	N/A	No	1	1	1	1	0.218	1	1	1	1	1	1	1	1	1	1	0
PRRC2C	blca	5	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
PKP2	blca	5	No	N/A	No	1	0.593097735063414	1	1	0.473	1	1	1	1	1	1	1	1	1	1	0
PTEN	blca	6	No	TSG	Missense somatic drivers in other tissues	6.453387e-09	0.208130772676524	1	1	0.603	1	1	1	1	1	1	1	0.0945009129451808	1	1	1
LAMC1	blca	5	No	N/A	No	1	1	1	1	0.879	1	1	1	1	1	1	1	1	1	1	0
ZFR2	blca	5	No	N/A	No	0.8726262	1	1	1	0.422	1	1	1	1	1	1	1	0.0706687578490359	1	1	0
COL5A2	blca	6	No	N/A	No	0.2590258	1	1	1	0.944	1	1	1	1	1	1	1	1	1	1	0
LRFN5	blca	6	No	N/A	No	1	1	1	1	0.406	1	1	1	1	1	1	1	1	1	1	0
IRF2BP1	blca	6	No	N/A	No	1	1	1	1	0.309	1	1	1	1	1	1	1	1	1	1	0
GBF1	blca	8	No	N/A	No	1	0.307771847578915	1	1	0.484	1	1	1	1	1	1	1	1	1	1	0
VWCE	blca	7	No	N/A	No	1	1	1	1	0.932	1	1	1	1	1	1	1	1	1	1	0
DNAH3	blca	22	No	N/A	No	0.7794723	1	1	1	0.967	1	1	1	1	1	0.860203	1	1	1	1	0
PARD6A	blca	8	No	N/A	No	1	1	1	1	0.281	1	1	1	1	1	1	1	1	1	1	0
PLEKHA6	blca	5	No	N/A	No	1	0.686259792606646	1	1	0.524	1	1	1	1	1	1	1	1	1	1	0
COL4A3	blca	5	No	N/A	No	1	1	1	1	0.709	1	1	1	1	1	1	1	1	1	1	0
TUBB3	blca	10	No	N/A	No	1	1	1	1	0.114	1	1	1	1	1	0.8344	1	1	1	1	0
