Method	Type	HLA-A	FAT1	XYLB	TSC1	GNA13	ATM	HRAS	ZNF814	AHNAK	STAG2	HSP90AA1	CUL1	THRAP3	ARID2	POLR3B	MARK2	WBSCR22	NCOA1	NFE2L2	ZCCHC11	SF3B1	PROS1	MBD1	MLL3	FOXQ1	TFG	TP53	DOCK10	BTG2	ERCC2	KIAA0430	EPHA2	ASCC2	EP300	KLF5	POLR3A	ZNF706	NDC80	ERBB3	CDKN2A	TXNIP	KDM6A	C3orf70	ZNF91	KBTBD6	PIK3CA	RHOB	RAD51C	HERC1	GPS2	TP63	RXRA	ARID1A	ELF3	BRWD1	RB1	CDKN1A	ABCB1	ERBB2	SPTAN1	MYH9	FGFR3	SRRM2	CREBBP	PTPN3	ATP12A	ASXL2
MutSigCV	Whole gene	0.04910134	5.300248e-05	0.7042023	1.350845e-11	0.163907	1.640383e-07	3.599268e-05	1	1	8.105072e-12	0.0009883762	0.2653453	0.006421415	0.0006076185	1	0.01482465	1	0.08482147	1.038417e-07	1	1	0.1339158	0.002916445	1	1.350845e-11	0.0009274726	1.013134e-12	1	0.04682017	4.616852e-10	1	0.01192624	1	1.127112e-11	1.013134e-11	1	1	0.01859624	1.016267e-06	8.841897e-12	1.953046e-06	0	1.42039e-05	1	1	0	1.013134e-11	1	1	0.01859624	1	0.0007385702	6.368271e-12	1.013134e-11	1	8.105072e-12	6.368271e-12	1	1	0.02881646	0.02764311	8.841897e-12	1	1.504953e-08	0.0387654	0.2308864	1.087366e-07
OncodriveFM	Whole gene	7.62954473789395e-05	1.66904063254884e-05	1	8.81951803255454e-10	0.0388195042581939	0.142854859391086	0.0474347272403292	0.990937711170757	0.0228976499523342	0.000374112070941273	0.0112491941427322	0.00329363571154217	0.0359279769234472	0.0299581780112911	0.203300924028505	3.37296667263232e-09	0.00864052363770491	0.0474347272403292	1.3710005241215e-05	1	0.025278519840871	0.00273948228305957	0.00455383316646921	7.38802773504365e-09	0.0551966197593933	0.0376938101715566	0	0.577906968332681	0.0474347272403292	7.69091432206714e-09	0.615166203569749	0.0474347272403292	0.00962296944585886	1.46457132136188e-11	0.281673400115278	0.547273960102238	0.238272643471909	0.440009588606686	0.386156100470837	1.09214935190798e-08	0.000142476089671959	0	1	1	0.0399105071460508	0.0551966197593933	0.521480402255026	1	0.00158925154182192	0.0028700867893492	1	0.192307493131377	0	9.83956249811513e-10	0.269428481035521	0	0	1	0.378290926120974	0.0597516061700924	1	0.000155016228070643	1	0.0177342073824065	0.848061528365306	1	0.000625817685398871
Hotspot	Type I	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7.67353549138532e-10	1	1	3.25512341809644e-07	1	1	1	1	1	1	1	1	1	1	1	3.87056568748797e-14	9.94905401689894e-07	1	1	1.73371448535179e-21	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.48040606300591e-18	1	1	1	1	1
OncodriveCLUST	Type I	0.000376326079148	1	1	1	1	0.926431517665	0.439966186491	1.09508213082e-06	0.700312119915	0.665839508112	1	0.665839508112	1	1	0.439966186491	1	1	1	0.307251072815	1	0.700312119915	1	1	1	1	1	0.408575481592	1	1	0.665839508112	1	1	1	0.933854440585	0.700312119915	1	0.120192789499	1	0.334240970689	1	1	0.172393474025	1	0.633735573631	1	0.307251072815	0.439966186491	0.000766436629436	1	1	1	0.120192789499	0.900537135549	1	1	0.900537135549	1	1	0.810433480974	1	1	0.0148380654683	1	0.900537135549	1	1	1
NMC	Type I	1	1	1	1	1	1	1	1	0.0001009982	1	1	1	1	1	5.391428e-09	1	1	1	3.410728e-07	9.615202e-05	1	1	1	2.121808e-05	1	1	7.183885e-21	1	1	1	1	1	1	1	1	1	1.151441e-05	1	8.155677e-06	1	1	1	1	0.0002578521	1	4.571632e-35	1	0.006625405	1	1	1	1	1	1	9.223848e-06	1	1	1	1	7.307827e-06	1	6.752958e-23	1	1.950511e-05	1	1	1
MutSig-CL	Type I	0.284	0.296	0.185	0.184	0.714	0.0366	0.039	0.287	0.869	0.606	0.31	0.00502	0.493	0.111	0.963	0.825	0.0163	0.302	0.00157	0.988	0.0316	0.0272	0.0373	1	0.0563	0.852	0	0.0372	0.626	0.00062	0.0475	0.0196	0.0136	0.116	0.0912	0.044	1	0.638	0.155	0	0.0309	0.0465	0.928	0.707	0.0161	0	0.0447	0.7	0.00244	0.656	0.0474	0.00157	0.522	0.0517	0.101	0.125	0.422	0.0838	2.96e-05	0.475	0.324	0.0819	0.0495	0.673	0.731	0.499	7.72e-05
iSIMPRe	Type I	1	1	1	1	1	1	1	0.003968	1	1	1	1	1	1	1	1	1	1	0.007453	1	1	1	0.0025	1	0.008333	1	7.417e-07	1	1	1	1	1	1	1	1	1	0.001082	1	0.007971	1	1	1	0.007576	1	1	4.835e-08	1	1	1	1	1	0.002288	1	1	1	1	1	1	1	1	1	6.281e-05	1	1	1	1	1
iPAC	Type II	1	1	0.004764922	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0004526935	1	4.401892e-16	1	1	1	1	1	1	1	1	1	1	1	2.304196e-06	1	1	1	1	0.008928571	1	2.408045e-25	6.613e-05	1	1	1	1	1	1	1	1	1	1	0.002839114	1	1	1	1	1	0.001843619	1	5.381863e-05	1
GraphPAC	Type II	1	1	0.00475887	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0004526935	1	1.489677e-13	1	1	1	1	1	1	1	1	1	1	1	8.571447e-05	1	1	1	1	0.008928571	1	9.592252e-38	9.80296e-05	1	1	1	1	1	1	1	1	1	1	0.002841356	1	1	1	1	1	0.0004274359	1	9.210498e-05	1
SpacePAC	Type II	1	1	0.016	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.001	1	5e-04	1	1	1	1	1	1	1	1	1	1	1	5e-04	1	1	1	1	0.008	1	5e-04	5e-04	1	1	1	1	1	1	1	1	1	1	0.01	1	1	1	1	1	0.003	1	0.013	1
CLUMPS	Type II	1	1	0.978651	1	1	1	0.00119937	1	1	1	1	0.175636	1	1	0.020125	1	1	1	0.8344	1	1	1	1	1	1	1	0.020125	1	1	0.539368	1	1	1	0.463273	1	1	1	1	0.860203	1	1	1	1	1	1	0.1232	0.88305	1	1	1	1	0.860203	1	1	1	1	1	0.441	0.463273	0.860203	1	0.168	1	0.00321074	1	0.168	1
e-Driver	Type III	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0038019344788612	0.734757302193808	1	1	1	1	1	1	1.56406025000872e-13	1	1	1	1	1	1	1	1	1	1	1	0.356282896726722	1	1	1	1	1	1	1.56406025000872e-13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ActiveDriver	Type III	1	0.0107729084938021	1	1	0.034335813349194	1	1	1	2.17421234150176e-10	0.10302568660689	1	1	1	0.121870993787835	1	0.162117760094521	1	0.00500200016025443	1	0.0226487914023573	1	1	1	1	1	0.0974312197076495	0.0275293262395515	0.0153752947247173	1	1	0.0419046150285092	1	1	0.00362059711121256	0.00745902916622465	0.0109998232838515	1	0.030814276127003	1	1	1	1	1	1	1	1	1	1	0.0227507169169609	1	0.0215380518130259	0.210129892726089	0.00745902916622465	1	0.00944869987030946	0.055246789689856	0.15627176189473	0.0273503862682278	1	1	0.00182091699578261	1	0.0140693318966705	0.00181815140363497	0.00767706674632904	1	1
