Method	Type	MKL1	CDC5L	PMS2	FAM21A	GATA3	TAS2R43	NBR1	C1orf198	AHNAK	DDX60	ATF6	CSDE1	ARID4B	NR1H2	APC	MED23	RUNX1	NR4A2	WASF3	CBFB	TP53	FRG1	HLA-DRB5	AQP12A	PIK3CA	CDH1	BBX	SEPT10	H2AFZ	VWF	BCAR3	SF3B1	MAP2K4	TMEM120B	ZNF362	HS6ST1	TMEM63A	NOTCH2	ZBTB7C	RPLP0	PARP4	NOMO1	GPRIN2	PCDHGB4	ZSWIM8	TRAK1	KRAS	ROR2	GNL3L	FAM22D	MYH7B	GIGYF1	ACOT2	MYB	SETD7	SPEN	FGFR2	ATP1A1	MYH9	FOLH1	TP53BP1	ADRBK1	TC2N	ZFYVE26	NIPBL	CASP8	SMARCC2	EGFR	TUB	VAV1	ARID1A	ST18	METTL7B	SETDB1	ZFP64	TBL1XR1	KIDINS220	BAZ2A	FOXA1	PER3	EIF2C2	AXL	USP28	CDKN1B	GFAP	PAPOLA	GPS2	PC	NCOR1	PHLDA1	ALDOA	NRIP1	ZNF91	AKAP4	ANKRD12	ERBB2	PPARG	PRRX1	ZFP36L1	USP12	MAP3K1	SLC16A1	CTCF	TPR	PKN2	SHC1	PTEN	GRHL2	LAMB1	SCML2	CHI3L1	KCNN3	SUPT5H	RERE	AKT1	HRNR	APOBR	IQGAP1	TBX3	RB1	DCAF11
MutSigCV	Whole gene	1	1	1	1	8.105072e-13	1	1	1	1	1	1	1	0.4388323	1	1	1	2.431522e-11	1	1	2.431522e-11	0	1	0.1373171	0.05590653	0	2.431522e-11	1	1	0.7825639	1	1	1	2.431522e-11	1	0.7203155	1	1	0.7203155	0.8188178	1	1	1	0.02708785	1	1	1	1	1	1	1	1	1	1	0.0082466	1	1	1	1	0.002099815	1	1	1	1	1	1	0.00425401	1	1	1	1	0.006952592	1	1	1	1	0.0001541489	1	1	1.757086e-09	1	1	1	1	6.247821e-06	1	1	2.460105e-07	1	1.186887e-09	1	1	0.8410809	1	1	0.05948034	1	1	1	0.0005828749	0.1549359	0	0.9599623	7.834777e-07	0.8910149	1	1	0	0.01876998	1	1	1	1	1	1	1	0.08359265	1	1	2.431522e-11	1.186887e-09	1
OncodriveFM	Whole gene	0.00159768133378826	1	1	0.662621284973564	0	1	0.0486985255776462	0.928121412095623	1	0.0454008150104275	0.0378675359624203	0.756110242990629	0.00844659318716453	0.00981160328838659	0.340256728506921	0.00454090938659163	1.60174903643648e-13	0.000387534287896729	0.00931607459577375	8.80961970040062e-14	0	0.550260717205913	0.432130009956838	1	8.4039207422092e-06	0	0.0152297004698676	0.836379732051968	0.0426399815168531	1	0.350655227372677	3.00554858778668e-09	0	0.00569603386492043	0.0394687806829548	0.00015063336911287	0.850359825565706	0.532055840898013	0.00130221270512973	1	0.0651912456927684	0.148474095840718	1	1	0.00458693620201586	1	0.00530974270634534	1	0.842525609059806	1	1	1	1	8.52947379392788e-10	0.885243502291426	2.47432558331262e-07	0.0446816797322478	6.35479598767425e-09	0.051770361396563	1	0.898395528768339	0.194822267282299	1	1	0.011205539097985	0.0475605348721648	0.0230912504614085	1	1	0.413855677685423	3.12470434142671e-10	1	0.00601662940867345	0.0337743383917948	0.652114222125188	0.0295080393546919	0.0245517195188039	0.579393911973731	0	1	0.0098606247293666	0.0373485049629163	0.026899403595548	0.000170716873873272	1	0.0608074494851134	0.0142277952811346	0.0375975885977147	8.17910263327194e-10	0.805543610387964	0.0301977736502522	0.011205539097985	0.0374296661977237	1	0.000730246158518963	0.0106185245467825	0.0352755796649547	0.00455697461571217	0.000321534857277497	0.0411552296433162	0	0.000277871649820766	0.0260290220765258	0.0436611131006557	0.000170716873873272	0.0266322001651765	0	0.0453680944928737	0.0426399815168531	1	1	1	0.287058601332024	0.00343643516272011	6.65126287380247e-09	1	1	0.513867823523514	0	1.56531725460273e-08	0.0331034956732575
Hotspot	Type I	1	1	1	1	2.64426984191556e-07	1	1	1	1	1	1	1	1	1	1	4.14822839608752e-08	1	1	1	1	6.01344690125059e-13	1	1	1	0	1	1	1	1	1	1	4.68285617575762e-24	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.61582838971466e-10	1	1	1	1	1	1	1	1	1	4.26761555023811e-14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5.29281094794852e-09	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5.9338496039739e-20	1	1	1	1	1	1	1	1	1	1	1.49445074344142e-06	1	1	1	1	1	1	1	5.87491430723018e-57	1	1	1	1	1	1
OncodriveCLUST	Type I	1	0.0202341191644	0.045345144032	8.33081025823e-06	0.092108260214	1	1	0.0202341191644	1	1	1	0.045345144032	1	0.045345144032	1	0.0688587628971	1	1	1	0.045345144032	0.00207310716995	0.0316719670182	0.0170314842422	1	1.58057880372e-07	0.0153094443596	1	5.20848418003e-07	1	0.0377590215754	1	0.00668850672172	0.027748733846	1	1	3.2408385394e-08	1	0.0859176465693	1	1	0.0449613886204	0.146100095599	0.0201041324302	1	1	0.0202341191644	1.58057880372e-07	1	0.045345144032	1	1	0.0377590215754	0.000556177202258	1	1	0.419653541976	0.0206382844597	1	0.110683862386	1	1	1	0.0202341191644	1	1	1	1	0.0202341191644	1	0.045345144032	0.281477806212	1	1	0.178084351569	0.110683862386	1	1	1	0.000203158863911	0.0771218813507	1	0.0202341191644	1	0.0202341191644	1	1	1	1	0.448578220706	0.00668850672172	1	1	1	1	1	0.00134134911712	1	0.045345144032	1	0.045345144032	0.178084351569	0.045345144032	0.104513162987	1	0.045345144032	1	0.00317108786808	1	0.237010386759	1	0.045345144032	1	1	0.237010386759	1.90889720545e-08	1	1	0.0202341191644	0.146100095599	0.297293045224	1
NMC	Type I	1	1	1	1.917519e-21	6.039378e-05	7.272204e-05	1	0.0003975848	1	1	1	1	1	1	1	2.883532e-08	1	1	1	1	3.756337e-53	0.0001385945	1.72592e-06	5.270631e-05	0	2.086112e-06	1	1.061615e-18	1	1	1	1.248655e-19	1	1	1	8.612294e-11	0.0005682477	1	1	0.006035544	3.301576e-08	1	1	8.194419e-06	1	0.002096435	1	1	1	1.425773e-07	1	0.0003455812	1.426625e-05	1	1	1	3.109411e-10	1	0.0006508564	1	1	1	1	1	1	1	1	1	1	1	1	2.743194e-05	1	1	1	1	1	1	6.694337e-11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.441042e-14	1	1	1	1	1	1	1.075557e-07	1	1	1	3.93954e-13	1	1	1	1	1.337185e-19	1	4.882956e-06	1.989311e-52	4.635543e-06	7.518018e-07	1	1	1	1
MutSig-CL	Type I	0.0028	0.953	0.588	0.834	0.406	0.034	0.0391	1	0.00939	0.0227	0.0227	0.321	0.623	0.945	0.0441	0.383	0.000311	0.0347	0.0411	0.118	0	0.168	0.256	0.00317	0	0.731	0.00296	0.694	0.717	0.788	0.0109	0.0265	0.503	0.0193	0.0345	0.184	0.0238	0.987	0.0186	0.558	0.00555	0.0488	0.468	0.0315	1	0.351	0.0589	0.519	0.0159	1	0.269	0.966	0.926	0.0406	0.00476	0.468	0.942	0.386	0.753	0.92	0.0228	0.0192	0.27	0.0409	0.82	0.178	0.045	0.596	0.267	0.631	0.61	0.87	0.00857	0.446	0.178	0.806	0.00773	0.0242	0.0509	0.838	1	0.666	0.0221	0.652	0.0227	0.308	0.139	0.0117	0.264	0.174	0.0258	0.862	0.352	0.0469	0.284	0.00106	0.666	0.0078	0.544	0.618	0.687	0.135	0.000697	0.218	0.636	0.822	0.751	0.743	0.0499	0.136	0.328	1	0.047	0.55	0.399	0.952	1	0.601	0.832	0.573	0.0307
iSIMPRe	Type I	1	1	1	0.0003572	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7.996e-23	1	1	1	8.993e-51	1	1	0.0003572	1	1	1	0.001099	1	1	1	0.003615	1	1	1	1	1	1	1	1	1	1	0.007576	1	1	0.001082	1	1	1	1	1	1	0.007453	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.006192	1	1	1	1	1	1	0.003993	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.134e-05	1	1	1	1	1	1	0.001548	1	1	1	0.0002499	1	1	1	1	0.0003572	1	1	3.644e-11	1	0.0001004	1	1	1	1
iPAC	Type II	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.172119e-26	1	1	1	2.866058e-147	0.0003588661	1	1	0.009345794	0.007839697	1	1	1	1	1	1	1	0.00665679	1	1	1	1	1	1	1	1	4.232441e-09	1	1	1	0.0009173568	1	1	1	1	1	1	1	0.003422051	1.923943e-05	1	1	1	1	1	1	1	0.003259982	0.005507948	1	1	1	1	1	0.01923077	1	1	1	1	1	1	1	1	1	1	0.004287241	1	1	1	1	1	1	1	1	1	1.92756e-12	0.003703704	1	1	1	1	1	1	1	1	1	1	1	1	0.007097774	0.0002642523	1	1	1	1	1	1	1	0.01424036	1	1
GraphPAC	Type II	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.485691e-26	1	1	1	4.096631e-231	0.0003588661	1	1	0.009345794	0.007839697	1	1	1	1	1	1	1	0.00665679	1	1	1	1	1	1	1	1	4.232441e-09	1	1	1	0.004608283	1	1	1	1	1	1	1	0.003422051	1.923944e-05	1	1	1	1	1	1	1	0.003259982	0.005507948	1	1	1	1	1	0.01923077	1	1	1	1	1	1	1	1	1	1	0.004287241	1	1	1	1	1	1	1	1	1	1.149098e-10	0.003703704	1	1	1	1	1	1	1	1	1	1	1	1	0.007097774	0.008007092	1	1	1	1	1	1	1	0.01424036	1	1
SpacePAC	Type II	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5e-04	1	1	1	5e-04	5e-04	1	1	0.005	0.018	1	1	1	1	1	1	1	0.01	1	1	1	1	1	1	1	1	5e-04	1	1	1	0.012	1	1	1	1	1	1	1	0.004	5e-04	1	1	1	1	1	1	1	0.009	0.005	1	1	1	1	1	0.023	1	1	1	1	1	1	1	1	1	1	0.014	1	1	1	1	1	1	1	1	1	5e-04	0.001	1	1	1	1	1	1	1	1	1	1	1	1	0.005	0.017	1	1	1	1	1	1	1	0.022	1	1
