Method	Type	ERBB2	ZNF844	NCKAP1L	RPSAP58	WDR90	MST1R	PSPH	EGFR	OSBPL3	F9	DVL2	RB1	TP53	PIK3R1	FRG1B	TMEM147	IDH1	ANKRD36	NBPF10	GRIN2B	POTEF	STAG2	PTPN11	MUC4	GLT8D2	ZNF814	LRP2	TNFSF10	PTEN	NF1	MYO1D	ZDHHC4	TJAP1	ABCC3	BRAF	MAP3K1	PYGB	PIK3CA	PDGFRB	FLNA	JHDM1D	PODNL1	PRDM9	MYH7B	CD209
MutSigCV	Whole gene	1	1	1	1	1	1	1	3.512198e-11	1	1	1	3.512198e-11	0	2.499064e-11	1	1	0.0008773855	1	1	1	1	0.0008056034	1	1	1	1	1	1	7.091938e-12	0.0001163136	1	1	1	1	1	1	1	3.512198e-11	1	1	1	1	1	1	1
OncodriveFM	Whole gene	1	1	0.414579458756275	0.24549613468913	0.000733176056355749	1	1	0	0.0165978249510925	1	0.36406432918711	0	0	0	0.661246074309288	1	2.33395842335377e-12	1	1	1	1	7.61138140169414e-10	0.000193175194912118	1	0.827058624343165	1	1	0.787653778245744	0	0	1	1	0.0388066530733975	0.0247708044322431	0.0806325914826882	0.414579458756275	7.85398168442219e-05	0.000137100676582828	1	0.958263758870893	0.662943412138827	1	1	1	1
Hotspot	Type I	1	1	1	2.09617005936157e-15	1	1	3.12954476761241e-07	2.56880314333246e-53	1	1	1	1	1.59852264477516e-11	1	1	1	6.53240030780327e-32	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.72681886773041e-07	1	1	4.00070973099269e-17	8.75578405603134e-08	1	1.05766456356161e-08	1	1	1	2.41234423437155e-06	1	1	1
OncodriveCLUST	Type I	0.368471681186	0.000224123087137	0.368471681186	0.000696086388316	1	1	0.032400210891	0.0025515101931	1	1	0.492293141255	0.667792747034	0.032400210891	0.368471681186	0.00790424239891	1	4.89136685098e-07	4.89136685098e-07	0.000778113196862	1	1	1	0.660488430721	0.583431381689	0.032400210891	0.000281440621292	1	0.492293141255	0.193565900515	0.880012172691	1	1	0.368471681186	1	0.000696086388316	0.368471681186	0.492293141255	0.368471681186	0.368471681186	0.606039582478	0.00959185511989	1	1	1	1
NMC	Type I	1	1.125561e-05	1	1.817604e-14	0.0002188016	1	1	3.357837e-50	1	1	1	4.243491e-06	2.105193e-33	3.643746e-13	1.355926e-05	1	1	1	3.785314e-16	1	5.773364e-05	1	0.0001940578	5.539624e-13	2.730824e-05	6.401655e-23	1	1	1	1	0.000474511	1	1	1	1.325925e-14	3.059393e-06	1	1.501126e-11	1	1	0.003182457	4.959613e-06	1	1	1
MutSig-CL	Type I	1	1	1	1	1	1	1	1e-05	1	1	1	0.2057	1e-05	1e-05	1	0.015	0.0086	1	1	1	0.016	1	1	1	1	1	1	1	0.07	0.231	0.023	0.0093	1	1	1e-05	7e-05	1	2e-05	0.0202	0.034	0.331	1	1	1	0.416
iSIMPRe	Type I	1	1	1	0.0002057	1	1	1	1.33e-08	1	1	1	1	3.554e-12	0.0002873	1	1	7.254e-12	0.003968	0.007453	1	1	1	1	0.003615	1	0.0001106	1	1	0.004287	1	1	1	1	1	0.0002914	1	1	0.002288	1	1	1	1	1	1	1
iPAC	Type II	1.211984e-06	1	0.00164908	1	1	0.01549035	1	4.59192e-45	1	0.01430828	0.01587302	0.002714654	1.829389e-17	1	1	1	1.887745e-50	1	1	0.004197758	1	1	1	1	1	1	0.001623167	0.009183635	1	1	1	1	1	1	2.34466e-12	1	0.0036302	2.257185e-09	0.004807692	1	1	1	0.007064347	0.001934236	0.01084331
GraphPAC	Type II	3.739943e-05	1	0.002285423	1	1	0.01549035	1	4.59192e-45	1	0.01430828	0.01587302	0.005771994	1.003317e-19	1	1	1	1.887745e-50	1	1	0.004197758	1	1	1	1	1	1	1	0.009183635	1	1	1	1	1	1	2.34466e-12	1	0.0036302	1.623864e-11	0.004807692	1	1	1	0.007064347	0.001934236	0.01084331
SpacePAC	Type II	5e-04	1	0.003	1	1	0.022	1	5e-04	1	0.022	0.014	0.016	5e-04	1	1	1	5e-04	1	1	0.008	1	1	1	1	1	1	0.17	0.021	1	1	1	1	1	1	5e-04	1	0.011	5e-04	0.002	1	1	1	0.009	0.001	0.014
