Gene	NPat	KnownDriver	Mode	AllDriver	MutSigCV	OncodriveFM	OncodriveCLUST	NMC	MutSig-CL	e-Driver	e-Driver3D	iPAC	GraphPAC	SpacePAC	CLUMPS	iSIMPRe	ActiveDriver	Hotspot	LowMACA	Detected
IPP	8	No	N/A	No	0.7964016	0.982519961651175	0.0301408657406	1	0.625	1	1	1	1	1	1	1	1	1	1	1
BMX	6	No	N/A	No	1	1	1	1	0.203	1	1	1	1	1	1	1	1	1	1	0
NAIF1	7	No	N/A	No	0.3663	1	1	1	0.174	1	1	1	1	1	1	1	1	1	1	0
IFT122	11	No	N/A	No	1	0.982800406833845	1	1	0.00411	1	1	1	1	1	1	1	1	1	1	1
LRRC2	8	No	N/A	No	1	1	1	1	0.0606	1	1	1	1	1	1	1	1	1	1	0
DHX32	9	No	N/A	No	1	0.0769017440864935	1	1	0.64	1	1	1	1	1	0.740921	1	1	1	1	0
HDC	15	No	N/A	No	0.05721267	1	1	1	0.0579	1	1	1	1	1	0.827809	1	1	1	1	0
NBPF9	7	No	N/A	No	1	1	1	1	0.745	1	1	1	1	1	1	1	1	1	1	0
NISCH	11	No	N/A	No	0.7809876	0.409752766014538	1	1	0.431	1	1	1	1	1	1	1	1	1	1	0
SNX19	12	No	N/A	No	1	1	1	1	0.213	1	1	1	1	1	1	1	1	1	1	0
ZNF780B	14	No	N/A	No	0.1508851	1	1	1	0.949	1	1	1	1	1	0.780676	1	1	1	1	0
NXPE3	6	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
FGD3	7	No	N/A	No	1	1	1	1	0.843	1	1	1	1	1	1	1	0.0706278765101185	1	1	0
NCAPG	8	No	N/A	No	1	0.168595319602723	1	1	0.868	1	1	1	1	1	1	1	1	1	1	0
BMPER	25	No	N/A	No	1	1	1	1	0.182	1	1	1	1	1	1	1	1	1	1	0
NMT1	6	No	N/A	No	1	1	1	1	0.812	1	1	1	1	1	0.866342	1	0.104908992886533	1	1	0
SPATA7	7	No	N/A	No	1	1	0.0634165244918	1	0.994	1	1	1	1	1	1	1	1	1	1	0
TRPC6	27	No	N/A	No	0.7732792	1	1	5.725357e-05	0.614	0.245767660719285	1	1	1	1	1	1	0.0581615360459663	1	1	1
RPL10L	16	No	N/A	No	1	1	1	1	0.853	1	1	1	1	1	0.8686	1	1	1	1	0
OR56A4	22	No	N/A	No	0.0007921822	1	1	1	0.72	1	1	1	1	1	0.929167	1	1	1	1	1
MCHR2	16	No	N/A	No	0.09103687	1	1	1	0.162	1	1	1	1	1	0.489337	1	1	1	0.002031438	1
OR13C5	11	No	N/A	No	0.270357	1	1	1	0.612	1	1	1	1	1	0.906517	1	1	1	1	0
TTLL10	5	No	N/A	No	1	1	1	1	0.806	1	1	1	1	1	1	1	1	1	1	0
INVS	12	No	N/A	No	1	0.929988849454071	1	1	0.736	1	1	1	1	1	1	1	1	1	1	0
TCP10	6	No	N/A	No	1	1	1	1	0.59	1	1	1	1	1	1	1	1	1	1	0
TRDMT1	7	No	N/A	No	0.05335505	0.4043638590356	1	1	0.918	1	1	1	1	1	1	1	1	1	1	0
ESPNL	15	No	N/A	No	0.1650204	1	1	1	0.21	1	1	1	1	1	1	1	1	1	1	0
ACAP2	10	No	N/A	No	1	0.710404613718831	1	1	0.835	1	1	1	1	1	1	1	1	1	1	0
GCK	11	No	N/A	No	1	1	1	1	0.928	1	1	1	1	1	0.956942	1	1	1	1	0
PPP1R3A	48	No	N/A	No	0.03056362	1	1	1	0.98	1	1	1	1	1	0.794787	1	0.153881919392978	1	1	1
PTPRJ	11	No	N/A	No	0.4755086	1	1	1	0.625	0.719525801740345	1	1	1	1	0.953733	1	1	1	1	0
LTC4S	5	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
ABI3	12	No	N/A	No	0.01375657	1	1	1	0.637	1	1	1	1	1	1	1	1	1	1	1
TNRC6B	10	No	N/A	No	1	1	1	1	0.202	1	1	1	1	1	1	1	1	1	1	0
TMEM63A	13	No	N/A	No	1	1	1	1	0.861	1	1	1	1	1	1	1	1	1	1	0
GAS2L2	16	No	N/A	No	0.08883933	1	1	1	0.96	1	1	1	1	1	1	1	1	1	1	0
HAPLN3	11	No	N/A	No	0.1692476	1	1	1	0.365	1	1	1	1	1	1	1	1	1	1	0
